wind speed,wind direction,power
9.926,128,1766.64
9.273,135,1433.83
8.66,142,1167.23
9.461,148,1524.59
9.184,150,1384.28
8.996,149,1293.93
9.016,151,1301.63
9.036,154,1308.13
7.612,154,792.081
6.129,162,399.537
5.961,152,362.988
8.117,141,951.359
9.54,141,1549.75
10.094,136,1835.22
8.789,137,1208.37
7.286,126,686.154
7.088,122,624.105
7.266,121,678.936
8.739,116,1187.51
10.212,126,1881.72
9.797,132,1685.91
8.729,149,1188.7
8.087,155,939.228
7.563,160,772.632
8.265,157,1006.16
8.631,157,1150.85
8.542,167,1116.59
7.158,176,647.342
6.693,174,528.178
7.009,175,602.899
6.96,162,591.48
6.91,177,578.963
6.09,177,387.965
6.99,173,596.94
6.584,175,501.324
4.884,166,184.65
4.904,135,185.902
6.782,120,544.988
8.245,126,993.34
9.352,132,1454.04
10.697,140,2090.64
11.992,142,2586.1
11.399,145,2378.47
10.806,153,2145.09
11.142,150,2294.79
10.657,155,2085.15
10.628,158,2067.89
10.291,162,1918.02
10.025,160,1796.63
9.461,162,1513.84
9.451,165,1508.79
10.539,166,2028.06
10.163,168,1857.71
10.272,167,1907.65
10.38,162,1955.66
10.489,167,2004.11
9.797,163,1680.99
9.965,167,1756.95
9.916,156,1726.52
10.608,150,2047.12
11.063,145,2248.96
11.844,142,2528.86
12.753,141,2764.96
13.89,143,2941.47
13.06,145,2831.9
12.298,148,2664.46
12.19,150,2642.42
12.081,151,2616.17
12.022,147,2595.34
12.555,149,2728.06
13,153,2825.07
13.168,152,2857.35
12.921,156,2805.3
12.308,159,2671.64
12.506,166,2713.9
12.981,166,2817.75
12.852,167,2788.04
12.506,170,2711.18
11.745,172,2492.39
10.993,172,2213.25
9.985,172,1761.58
9.609,173,1570.07
8.799,157,1198.44
8.344,149,1024.2
9.768,140,1646.62
9.758,139,1641.59
9.53,140,1523.3
10.034,136,1776.68
10.608,136,2036.19
11.171,142,2288.37
9.995,150,1762.46
8.818,155,1202.84
6.426,159,461.536
6.723,165,530.497
5.615,166,300.86
3.747,171,58.2514
2.491,156,0
0.484,95,0
7.988,5,906.708
13.584,20,2920.86
12.822,19,2805.53
12.031,19,2632.4
11.201,10,2344.17
10.371,5,1995.81
12.19,3,2677.41
11.834,10,2581.64
10.638,12,2119.17
9.619,12,1639.65
10.282,15,1955.95
8.947,15,1299.54
8.047,12,948.183
8.364,14,1069.99
8.532,12,1135.09
9.491,13,1567.55
9.471,10,1567.48
9.461,8,1572.38
11.132,8,2344.62
12.783,14,2822.17
12.625,16,2790.85
13.356,19,2909.83
12.555,20,2779.36
12.615,16,2794.97
11.903,14,2634.56
12.348,12,2736.64
12.298,13,2727.68
11.695,14,2569.42
11.814,6,2610.23
11.933,11,2642.68
10.964,17,2304.8
11.28,17,2418.76
10.291,17,2010.77
10.46,18,2087.45
8.739,26,1253.03
9.006,25,1368.51
8.65,19,1215.92
8.334,24,1088.84
8.71,25,1235.92
8.581,26,1185.46
8.64,26,1214.14
8.7,16,1243.95
8.838,8,1300.76
9.333,3,1551.07
9.856,14,1821.1
8.858,18,1308.92
8.107,13,1013.86
7.217,8,712.767
7.523,359,810.706
8.265,353,1077.22
9.856,351,1828.88
8.828,353,1301.75
8.206,357,1055.49
7.583,358,830.994
6.792,359,586.206
6.446,350,500.897
7.217,348,707.833
6.386,349,484.807
6.347,348,472.799
5.655,352,325.958
5.388,353,277.875
5.685,5,328.748
6.07,11,401.301
5.803,12,347.579
5.309,360,262.25
4.815,3,184.726
5.645,355,321.099
5.516,351,297.925
2.788,340,0
2.116,273,0
2.897,284,0
2.402,272,0
3.421,287,35.4999
6.624,303,529.513
6.327,316,459.565
5.813,314,348.471
5.2,309,242.999
4.587,324,156.77
3.243,345,21.523
3.005,340,1.82121
2.946,330,0
1.7,266,0
3.342,283,28.3227
3.539,272,44.1369
3.154,273,12.3147
2.491,276,0
2.521,305,0
2.847,328,0
1.661,356,0
0.465,25,0
0.672,310,0
1.176,296,0
1.295,261,0
2.017,257,0
2.392,298,0
2.916,308,0
2.837,313,0
2.907,312,0
4.478,338,142.129
7.751,354,863.103
8.522,5,1146.89
9.303,11,1490.88
9.758,10,1723.62
7.336,2,728.148
7.405,7,752.153
6.001,9,383.25
8.482,11,1123.25
11.023,19,2286.52
11.013,29,2279.84
9.59,27,1616.58
9.708,22,1673.5
8.542,13,1135.89
8.522,12,1128.15
8.512,3,1123.13
8.868,5,1270.59
9.253,6,1456.34
9.52,12,1603.41
10.173,16,1930.5
10.45,25,2055.46
10.321,25,2002.03
9.599,27,1653.71
8.482,20,1136.65
7.939,19,926.523
6.772,9,570.258
7.286,4,719.702
7.79,9,879.966
8.018,14,960.808
6.337,9,467.165
6.901,14,599.984
7.029,28,636.928
6.485,37,499.541
6.723,41,555.695
7.355,42,737.257
7.187,48,683.936
6.377,47,474.059
5.052,43,218.029
4.587,37,156.597
4.113,35,98.508
5.507,39,297.617
5.981,45,379.566
5.358,47,270.827
4.993,59,207.414
4.894,68,193.849
4.261,62,115.987
5.437,60,283.191
5.161,69,235.309
4.923,75,196.496
5.101,78,224.389
3.954,92,79.4044
2.808,95,0
2.056,73,0